Name,City,Region,Notes,Parent Organization,Technology Focus,Diversity Focus,Twitter,URL,organization_logo
New York City Latinas in Tech,"New York City, New York",AMER-East,,Latinas in Tech,General Technology,"Latinx,Women in Tech",,https://www.latinasintech.org/chapter/new-york-city,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
NYC PyLadies,"New York City, New York",AMER-East,,Pyladies,Python,Women in Tech,@NYCPyLadies,http://www.meetup.com/NYC-PyLadies/,https://github.com/pyladies/pyladies-assets/blob/master/geek/png/pylady_geek_full_standard.png?raw=true
Out in Tech : Indy,"Indianapolis, Indiana",AMER-C-North,,Out in Tech,General Technology,Women in Tech,@outintech_indy,https://www.outintech.com,https://outintech.com/wp-content/themes/out-in-tech/resources/images/footer-logo-2x.png
Philly Tech Sistas,"Philadelphia, Pennsylvania",AMER-East,,,General Technology,"BIPOC,Women in Tech",,,
PyLadies Austin,"Austin, Texas",AMER-C-South,,Pyladies,Python,Women in Tech,@PyLadiesATX,http://www.meetup.com/PyLadies-ATX/,https://github.com/pyladies/pyladies-assets/blob/master/geek/png/pylady_geek_full_standard.png?raw=true
PyLadies Berlin,"Berlin, Germany",EMEA-C,,Pyladies,Python,Women in Tech,@PyLadiesBer,http://www.meetup.com/pyladies-berlin/,https://github.com/pyladies/pyladies-assets/blob/master/geek/png/pylady_geek_full_standard.png?raw=true
Pyladies London,"London, England",EMEA-UKN,,Pyladies,Python,Women in Tech,@PyLadiesLondon,http://meetup.com/pyladieslondon,https://github.com/pyladies/pyladies-assets/blob/master/geek/png/pylady_geek_full_standard.png?raw=true
PyLadies PDX,"Portland, Oregon",AMER - West,,Pyladies,Python,Women in Tech,@PyLadies_pdx,http://www.meetup.com/PyLadies-PDX/,https://github.com/pyladies/pyladies-assets/blob/master/geek/png/pylady_geek_full_standard.png?raw=true
PyLadies Remote,,Online Only,,Pyladies,Python,Women in Tech,@PyLadiesRemote,http://remote.pyladies.com,https://github.com/pyladies/pyladies-assets/blob/master/geek/png/pylady_geek_full_standard.png?raw=true
PyLadies San Diego,"San Diego, California",AMER - West,,Pyladies,Python,Women in Tech,@PyLadies_SD,http://meetup.com/sd-pyladies/,https://github.com/pyladies/pyladies-assets/blob/master/geek/png/pylady_geek_full_standard.png?raw=true
PyLadies SF,"San Francisco, California",AMER - West,,Pyladies,Python,Women in Tech,@pyladiessf,http://meetup.com/PyLadiesSF/,https://github.com/pyladies/pyladies-assets/blob/master/geek/png/pylady_geek_full_standard.png?raw=true
PyLadiesLA,"Los Angeles, California",AMER - West,,Pyladies,Python,Women in Tech,@PyLadiesLA,https://www.meetup.com/Pyladies-LA/,https://github.com/pyladies/pyladies-assets/blob/master/geek/png/pylady_geek_full_standard.png?raw=true
RailsGirlsManchester,"Manchester, England",EMEA-UKN,,,Ruby on Rails,Women in Tech,@RailsGirlsMCR,http://railsgirls.com/manchester,
Sacramento Latinas in Tech,"Sacramento, California",AMER - West,,Latinas in Tech,General Technology,"Latinx,Women in Tech",,https://www.latinasintech.org/chapter/sacramento,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
Seattle Latinas in Tech,"Seattle, Washington",AMER - West,,Latinas in Tech,General Technology,"Latinx,Women in Tech",,https://www.latinasintech.org/chapter/seattle,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
Seattle PyLadies,"Seattle, Washington",AMER - West,,Pyladies,Python,Women in Tech,@PyLadiesSEA,http://www.meetup.com/Seattle-PyLadies/,https://github.com/pyladies/pyladies-assets/blob/master/geek/png/pylady_geek_full_standard.png?raw=true
Silicon Valley Latinas in Tech,"San Francisco, California",AMER - West,,Latinas in Tech,General Technology,"Latinx,Women in Tech",,https://www.latinasintech.org/chapter/silicon-valley,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
Skyline Girls Who Code,,AMER-C-South,,Girls Who Code,Youth Education,Women in Tech,@SkylineGWC,,https://pbs.twimg.com/profile_images/1256217094745657344/G8Byq6Ws_400x400.jpg
SoCal Pyladies,"Los Angeles, California",AMER - West,,Pyladies,Python,Women in Tech,@SoCalPyladies,http://socalpyladies.github.io/,https://github.com/pyladies/pyladies-assets/blob/master/geek/png/pylady_geek_full_standard.png?raw=true
Sync NI Women,"Belfast, Northern Ireland",EMEA-UKN,,,General Technology,Women in Tech,@SyncNIWomen,https://syncni.com/,
Tech By Choice,"Los Angeles, California",Online Only,,,General Technology,BIPOC,@TechByChoiceOrg,http://techbychoice.org,
Tech for the Culture,"Houston, Texas",AMER-C-South,"Reggie (One of the organizers) just recently joined Elastic and they are now meeting for their 2021 planning
",,General Technology,BIPOC,@techculturetx,,
Technologist of Color,,AMER-East,Recommended by Mosi Platt,,General Technology,BIPOC,,,
Techqueria LA,"Los Angeles, California",AMER - West,,Techqueria,General Technology,Latinx,@techqueriala,http://www.techqueria.org,https://github.com/kjaymiller/diversity-orgs-tech-appsearch-demo/blob/main/diversity-orgs-tech-react-demo-ui/public/techquiera.png?raw=true
Techqueria NYC 🌮🗽,"New York City, New York",AMER-East,,Techqueria,General Technology,Latinx,@TechqueriaNYC,http://techqueria.org/join,https://github.com/kjaymiller/diversity-orgs-tech-appsearch-demo/blob/main/diversity-orgs-tech-react-demo-ui/public/techquiera.png?raw=true
TLA Women in Tech,"London, England",EMEA-UKN,,,General Technology,Women in Tech,@TLAWomeninTech,http://www.tlawomenintech.org,http://tlawomenintech.org/wp-content/uploads/2015/11/cropped-TLA-WIT_logo-021-uai-258x258.png
Utah Latinas in Tech,"Salt Lake City, Utah",AMER-C-North,,Latinas in Tech,General Technology,"Latinx,Women in Tech",,https://www.latinasintech.org/chapter/utah,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
Washington D.C. Latinas in Tech,"Washington, DC",AMER-East,,Latinas in Tech,General Technology,"Latinx,Women in Tech",,https://www.latinasintech.org/chapter/washington-dc,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
WoMakersCode,"Rio De Janeiro, Brazil",Brazil,,,General Technology,Women in Tech,,,
Women in Cyber Security Middle East,,,,Women in Cyber Security (WiCyS),Security,Women in Tech,@WiCSME,,https://pbs.twimg.com/profile_images/1031603712341561344/V2k_d3ny_400x400.jpg
Women in Cybersecurity (WiCyS) Florida,"Orlando, Florida",AMER-East,,Women in Cyber Security (WiCyS),Security,Women in Tech,@WiCyS_Florida,,https://pbs.twimg.com/profile_images/1031603712341561344/V2k_d3ny_400x400.jpg
Women in Tech - Charleston,"Charleston, South Carolina",AMER-East,,,General Technology,Women in Tech,@CHSWomenInTech,http://chswomenintech.org,https://chswomenintech.org/wp-content/themes/cwit/img/logo.svg
Women In Tech Belfast,"Belfast, Northern Ireland",EMEA-UKN,,,General Technology,Women in Tech,@womenintech_bfs,https://www.meetup.com/Women-In-Tech-Belfast-Lean-In/,
Women in Tech Cymru,"Cardiff, Wales",EMEA-UKN,,,General Technology,Women in Tech,@CymruTech,,
Women in Technology Uganda,,EMEA-S,,,General Technology,Women in Tech,@wituganda,http://www.witug.org,
Women Tech Space,,EMEA-UKN,,,General Technology,Women in Tech,@womentechspace,https://www.womentechspace.com,
Women Who Code - Boulder/Denver,"Denver, Colorado",AMER - West,,Women Who Code,General Technology,Women in Tech,,,https://pbs.twimg.com/profile_images/1145752735914037249/GhbLGaYH_400x400.jpg
Women Who Code - San Diego,"San Diego, California",AMER - West,,Women Who Code,General Technology,Women in Tech,,,https://pbs.twimg.com/profile_images/1145752735914037249/GhbLGaYH_400x400.jpg
Women Who Code - Silicon Valley,"San Francisco, California",AMER - West,,Women Who Code,General Technology,Women in Tech,,,https://pbs.twimg.com/profile_images/1145752735914037249/GhbLGaYH_400x400.jpg
Women Who Code BFS,"Belfast, Northern Ireland",EMEA-UKN,,Women Who Code,General Technology,Women in Tech,@WWCodeBelfast,http://www.womenwhocode.com/belfast,https://pbs.twimg.com/profile_images/1145752735914037249/GhbLGaYH_400x400.jpg
Women Who Code Brisbane,"Brisbane, Australia",EMEA-UKN,,Women Who Code,General Technology,Women in Tech,@WomenWhoCodeBNE,https://www.meetup.com/Women-Who-Code-Brisbane/,https://pbs.twimg.com/profile_images/1145752735914037249/GhbLGaYH_400x400.jpg
Women Who Code Colima,"Colima, Mexico",NASA-Latam,,Women Who Code,General Technology,Women in Tech,@CodificadasMx,http://www.meetup.com/Codificadas/,https://pbs.twimg.com/profile_images/1145752735914037249/GhbLGaYH_400x400.jpg
Women Who Code DC,"Washington, DC",AMER-East,,Women Who Code,General Technology,Women in Tech,@WomenWhoCodeDC,http://www.meetup.com/Women-Who-Code-DC/,https://pbs.twimg.com/profile_images/1145752735914037249/GhbLGaYH_400x400.jpg
Women Who Code KL,"Kuala Lumpur, Malaysia",APJ-ASEAN,,Women Who Code,General Technology,Women in Tech,@WomenwhocodeKL,https://facebook.com/womenwhocodekl/,https://pbs.twimg.com/profile_images/1145752735914037249/GhbLGaYH_400x400.jpg
Women Who Code LA,"Los Angeles, California",AMER - West,,Women Who Code,General Technology,Women in Tech,@WomenWhoCodeLA,http://www.meetup.com/Women-Who-Code-LA/,https://pbs.twimg.com/profile_images/1145752735914037249/GhbLGaYH_400x400.jpg
Women Who Code NYC,"New York City, New York",AMER-East,,Women Who Code,General Technology,Women in Tech,@WomenWhoCodeNYC,http://meetup.com/WomenWhoCodeNYC,https://pbs.twimg.com/profile_images/1145752735914037249/GhbLGaYH_400x400.jpg
Women Who Code TO,"Toronto, Canada",NASA-Canada-East,,Women Who Code,General Technology,Women in Tech,@WomenWhoCodeTO,http://www.womenwhocode.com/toronto,https://pbs.twimg.com/profile_images/1145752735914037249/GhbLGaYH_400x400.jpg
Women Who Code Wichita,"Wichita, Kansas",AMER-C-South,,Women Who Code,General Technology,Women in Tech,@WWCodeWichita,http://womenwhocode.com,https://pbs.twimg.com/profile_images/1145752735914037249/GhbLGaYH_400x400.jpg
WTM Belfast,"Belfast, Northern Ireland",EMEA-UKN,,,,Women in Tech,@WTMBelfast,http://womentechmakersbelfast.com,
